raceId,driverId,lap,position,time,milliseconds,constructor,constructorId,year,race,driverRef,lap_time
84,11,16,10,1:27.523,87523.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.523000
84,11,17,10,1:27.671,87671.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.671000
84,11,18,10,1:26.918,86918.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.918000
84,11,19,10,1:27.062,87062.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.062000
84,11,20,10,1:26.988,86988.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.988000
84,11,21,10,1:26.809,86809.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.809000
84,11,22,10,1:26.714,86714.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.714000
84,11,23,10,1:27.665,87665.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.665000
84,11,24,9,1:27.137,87137.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.137000
84,11,25,7,1:26.474,86474.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.474000
84,11,26,7,1:26.439,86439.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.439000
84,11,27,7,1:27.222,87222.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.222000
84,11,28,7,1:27.434,87434.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.434000
84,11,29,7,1:27.724,87724.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.724000
84,11,30,10,1:52.874,112874.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:52.874000
84,11,31,10,1:28.886,88886.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.886000
84,11,32,10,1:28.622,88622.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.622000
84,11,33,10,1:28.485,88485.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.485000
84,11,34,10,1:28.019,88019.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.019000
84,11,35,10,1:28.311,88311.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.311000
84,11,36,10,1:28.983,88983.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.983000
84,11,37,10,1:28.507,88507.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.507000
84,11,38,10,1:27.660,87660.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.660000
84,11,39,10,1:28.370,88370.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.370000
84,11,40,10,1:27.676,87676.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.676000
84,11,41,10,1:27.677,87677.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.677000
84,11,42,10,1:27.077,87077.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.077000
84,11,43,10,1:27.233,87233.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.233000
84,11,44,10,1:26.993,86993.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.993000
84,11,45,10,1:27.694,87694.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.694000
84,11,46,10,1:28.716,88716.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.716000
84,11,47,9,1:27.361,87361.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.361000
84,11,48,9,1:27.118,87118.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.118000
84,11,49,9,1:28.912,88912.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.912000
84,11,50,9,1:26.876,86876.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.876000
84,11,51,9,1:26.255,86255.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.255000
84,11,52,9,1:26.152,86152.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.152000
84,11,53,9,1:26.178,86178.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.178000
84,11,54,9,1:25.858,85858.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:25.858000
84,11,55,9,1:25.874,85874.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:25.874000
84,11,56,9,1:26.456,86456.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:26.456000
84,11,57,9,1:28.043,88043.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.043000
84,11,58,9,2:00.732,120732.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:02:00.732000
84,4,1,3,1:33.828,93828.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:33.828000
84,4,2,2,1:29.513,89513.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:29.513000
84,4,3,2,1:27.563,87563.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.563000
84,4,4,2,1:27.505,87505.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.505000
84,4,5,2,1:27.105,87105.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.105000
84,4,6,2,1:27.013,87013.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.013000
84,4,7,2,1:27.037,87037.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.037000
84,4,8,2,1:26.852,86852.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.852000
84,4,9,2,1:26.582,86582.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.582000
